model_name, msg, step_size, perturb_steps, random, loss_fun, epsilon, batch_size, gpuid, model_path, Natural_ACC, Robust_ACC, Time
model4, NoODI, 0.01, 20, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53860, 198.3161 
model4, NoODI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53730, 494.1522 
model4, NoODI, 0.01, 80, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53710, 807.2972 
model4, NoODI, 0.01, 20, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55240, 209.2331 
model4, NoODI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55070, 493.3306 
model4, NoODI, 0.01, 80, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55020, 713.8144 
model4, NoODI, 0.01, 20, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55280, 195.8767 
model4, NoODI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55110, 478.0232 
model4, NoODI, 0.01, 80, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.55090, 729.9503 
model4, NoODI, 0.01, 20, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53850, 193.1466 
model4, NoODI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53730, 461.7430 
model4, NoODI, 0.01, 80, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.84920, 0.53710, 707.7648 
model5, NoODI, 0.01, 20, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53820, 195.0797 
model5, NoODI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53710, 457.4984 
model5, NoODI, 0.01, 80, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53700, 717.4495 
model5, NoODI, 0.01, 20, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53640, 193.6645 
model5, NoODI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53170, 449.7720 
model5, NoODI, 0.01, 80, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53110, 723.1145 
model5, NoODI, 0.01, 20, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53290, 188.3381 
model5, NoODI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.52990, 451.9268 
model5, NoODI, 0.01, 80, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.52920, 727.7194 
model5, NoODI, 0.01, 20, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53830, 187.3132 
model5, NoODI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53720, 447.5749 
model5, NoODI, 0.01, 80, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.81430, 0.53700, 720.5740 
model6, NoODI, 0.01, 20, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60900, 149.8810 
model6, NoODI, 0.01, 50, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60840, 358.6187 
model6, NoODI, 0.01, 80, 0, Margin+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60820, 574.0697 
model6, NoODI, 0.01, 20, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63600, 148.0942 
model6, NoODI, 0.01, 50, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63480, 358.9384 
model6, NoODI, 0.01, 80, 0, CE+Entro, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63480, 587.4419 
model6, NoODI, 0.01, 20, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63770, 155.3058 
model6, NoODI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63690, 366.2891 
model6, NoODI, 0.01, 80, 0, CE, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.63640, 577.9016 
model6, NoODI, 0.01, 20, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60920, 153.7903 
model6, NoODI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60830, 372.7037 
model6, NoODI, 0.01, 80, 0, Margin, 0.03137254901960784, 300, 1-2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.88250, 0.60820, 588.5350 
